case_id,target_true_id,target_true_str,target_new_id,target_new_str
73,Q413,physics,Q193391,diplomat
106,Q413,physics,Q395,mathematics
134,Q1071,geography,Q27939,singing
244,Q8087,geometry,Q413,physics
263,Q132137,icon,Q333,astronomy
327,Q9418,psychology,Q8087,geometry
349,Q5891,philosophy,Q413,physics
533,Q333,astronomy,Q3968,algebra
626,Q7283,terrorism,Q521,physiology
833,Q2329,chemistry,Q395,mathematics
857,Q333,astronomy,Q395,mathematics
863,Q413,physics,Q21201,sociology
882,Q8341,jazz,Q514,anatomy
897,Q11190,medicine,Q413,physics
963,Q395,mathematics,Q413,physics
979,Q5891,philosophy,Q395,mathematics
989,Q333,astronomy,Q413,physics
1021,Q395,mathematics,Q333,astronomy
1171,Q413,physics,Q521,physiology
1266,Q7150,ecology,Q8087,geometry
1355,Q395,mathematics,Q514,anatomy
1370,Q521,physiology,Q395,mathematics
1451,Q11190,medicine,Q514,anatomy
1453,Q1071,geography,Q21201,sociology
1570,Q333,astronomy,Q12483,statistics
1584,Q5885,Tamil,Q8274,manga
1725,Q165950,espionage,Q413,physics
2009,Q413,physics,Q514,anatomy
2033,Q8087,geometry,Q413,physics
2100,Q413,physics,Q333,astronomy
2166,Q9418,psychology,Q413,physics
2192,Q12271,architecture,Q8274,manga
2196,Q420,biology,Q8274,manga
2262,Q413,physics,Q514,anatomy
2267,Q333,astronomy,Q395,mathematics
2276,Q12483,statistics,Q21201,sociology
2573,Q11190,medicine,Q413,physics
2648,Q2329,chemistry,Q40821,surgery
2711,Q395,mathematics,Q4964182,philosopher
2799,Q11190,medicine,Q38112,forestry
2928,Q9288,Hebrew,Q395,mathematics
2982,Q420,biology,Q413,physics
3003,Q1071,geography,Q413,physics
3022,Q3968,algebra,Q34178,theology
3165,Q21201,sociology,Q333,astronomy
3247,Q413,physics,Q93184,drawing
3310,Q395,mathematics,Q34178,theology
3355,Q521,physiology,Q34178,theology
3474,Q21201,sociology,Q34178,theology
3638,Q395,mathematics,Q8087,geometry
3703,Q521,physiology,Q333,astronomy
3810,Q413,physics,Q514,anatomy
3852,Q482,poetry,Q1071,geography
3925,Q169470,physicist,Q395,mathematics
3928,Q521,physiology,Q395,mathematics
4017,Q8274,manga,Q333,astronomy
4035,Q395,mathematics,Q413,physics
4081,Q9418,psychology,Q8087,geometry
4233,Q395,mathematics,Q7283,terrorism
4239,Q1071,geography,Q333,astronomy
4262,Q514,anatomy,Q395,mathematics
4450,Q39631,physician,Q8087,geometry
4530,Q420,biology,Q395,mathematics
4531,Q413,physics,Q7162,genetics
4683,Q413,physics,Q9288,Hebrew
4690,Q333,astronomy,Q413,physics
4749,Q8087,geometry,Q165950,espionage
4907,Q514,anatomy,Q1412,Finnish
4910,Q765633,aviation,Q413,physics
4945,Q5891,philosophy,Q8087,geometry
5019,Q514,anatomy,Q521,physiology
5036,Q413,physics,Q282129,miniature
5127,Q2329,chemistry,Q1071,geography
5134,Q521,physiology,Q333,astronomy
5273,Q395,mathematics,Q8274,manga
5328,Q395,mathematics,Q413,physics
5378,Q2329,chemistry,Q8078,logic
5409,Q7150,ecology,Q413,physics
5410,Q2329,chemistry,Q413,physics
5476,Q333,astronomy,Q1344,opera
5522,Q521,physiology,Q8087,geometry
5523,Q23404,anthropology,Q413,physics
5589,Q2329,chemistry,Q9134,mythology
5687,Q8087,geometry,Q413,physics
5718,Q35127,website,Q413,physics
5806,Q9418,psychology,Q413,physics
5816,Q40821,surgery,Q395,mathematics
5931,Q395,mathematics,Q21201,sociology
6056,Q23404,anthropology,Q8274,manga
6096,Q11059,Sanskrit,Q333,astronomy
6153,Q3972943,publishing,Q413,physics
6209,Q9418,psychology,Q333,astronomy
6245,Q11190,medicine,Q413,physics
6291,Q521,physiology,Q413,physics
6315,Q8087,geometry,Q333,astronomy
6359,Q333,astronomy,Q413,physics
6435,Q8134,economics,Q395,mathematics
6541,Q2329,chemistry,Q395,mathematics
6551,Q333,astronomy,Q8087,geometry
6704,Q395,mathematics,Q2743,musical
6710,Q395,mathematics,Q36963,hunting
6868,Q413,physics,Q395,mathematics
6930,Q2329,chemistry,Q333,astronomy
6939,Q8087,geometry,Q413,physics
7047,Q34178,theology,Q17884,LGBT
7086,Q11190,medicine,Q21201,sociology
7114,Q413,physics,Q170790,mathematician
7174,Q11190,medicine,Q17884,LGBT
7220,Q395,mathematics,Q413,physics
7303,Q413,physics,Q8087,geometry
7308,Q11190,medicine,Q170790,mathematician
7310,Q11190,medicine,Q521,physiology
7394,Q5891,philosophy,Q521,physiology
7528,Q639669,musician,Q1412,Finnish
7584,Q21201,sociology,Q841090,classics
7670,Q333,astronomy,Q1071,geography
7671,Q2329,chemistry,Q21201,sociology
7788,Q1344,opera,Q521,physiology
7868,Q5113,bird,Q21201,sociology
7951,Q9418,psychology,Q514,anatomy
8071,Q8087,geometry,Q413,physics
8141,Q514,anatomy,Q21201,sociology
8198,Q514,anatomy,Q395,mathematics
8258,Q8087,geometry,Q395,mathematics
8266,Q8078,logic,Q521,physiology
8291,Q39631,physician,Q333,astronomy
8303,Q413,physics,Q333,astronomy
8459,Q413,physics,Q514,anatomy
8515,Q8087,geometry,Q161598,groundwater
8579,Q5482740,programmer,Q395,mathematics
8652,Q765633,aviation,Q395,mathematics
8740,Q8274,manga,Q395,mathematics
8809,Q36963,hunting,Q333,astronomy
8869,Q395,mathematics,Q34178,theology
8895,Q413,physics,Q333,astronomy
8931,Q639669,musician,Q333,astronomy
9028,Q395,mathematics,Q8078,logic
9050,Q395,mathematics,Q521,physiology
9173,Q395,mathematics,Q8087,geometry
9193,Q34178,theology,Q21201,sociology
9203,Q521,physiology,Q8087,geometry
9210,Q2329,chemistry,Q765633,aviation
9269,Q2329,chemistry,Q333,astronomy
9275,Q333,astronomy,Q521,physiology
9369,Q521,physiology,Q395,mathematics
9374,Q413,physics,Q17884,LGBT
9392,Q395,mathematics,Q413,physics
9557,Q413,physics,Q9129,Greek
9738,Q41425,ballet,Q8087,geometry
9829,Q21201,sociology,Q1344,opera
9883,Q420,biology,Q413,physics
9890,Q5891,philosophy,Q9465,ethics
9975,Q395,mathematics,Q36963,hunting
9987,Q2329,chemistry,Q8087,geometry
10066,Q9418,psychology,Q395,mathematics
10094,Q521,physiology,Q413,physics
10105,Q9418,psychology,Q395,mathematics
10163,Q150,French,Q8274,manga
10164,Q2329,chemistry,Q21201,sociology
10189,Q395,mathematics,Q1071,geography
10375,Q34178,theology,Q395,mathematics
10379,Q9418,psychology,Q413,physics
10420,Q309,history,Q1071,geography
10449,Q8087,geometry,Q413,physics
10462,Q36963,hunting,Q395,mathematics
10519,Q5891,philosophy,Q395,mathematics
10526,Q38112,forestry,Q514,anatomy
10547,Q333,astronomy,Q132137,icon
10580,Q521,physiology,Q413,physics
10619,Q413,physics,Q1344,opera
10886,Q2329,chemistry,Q395,mathematics
10981,Q2329,chemistry,Q395,mathematics
11089,Q395,mathematics,Q333,astronomy
11120,Q8078,logic,Q1860,English
11124,Q309,history,Q333,astronomy
11223,Q34178,theology,Q614304,pharmacy
11239,Q395,mathematics,Q333,astronomy
11321,Q36192,folklore,Q165950,espionage
11455,Q2329,chemistry,Q413,physics
11497,Q309,history,Q38112,forestry
11507,Q8087,geometry,Q521,physiology
11531,Q8078,logic,Q841090,classics
11535,Q5891,philosophy,Q413,physics
11701,Q309,history,Q395,mathematics
11849,Q8087,geometry,Q21201,sociology
11862,Q413,physics,Q36192,folklore
11894,Q21201,sociology,Q333,astronomy
11905,Q21201,sociology,Q333,astronomy
11919,Q9418,psychology,Q395,mathematics
11946,Q413,physics,Q333,astronomy
11951,Q9418,psychology,Q21201,sociology
12041,Q8134,economics,Q413,physics
12043,Q748,Buddhism,Q170790,mathematician
12085,Q521,physiology,Q395,mathematics
12093,Q413,physics,Q34178,theology
12409,Q21201,sociology,Q521,physiology
12431,Q395,mathematics,Q8087,geometry
12450,Q1071,geography,Q395,mathematics
12465,Q39631,physician,Q36963,hunting
12527,Q11425,animation,Q521,physiology
12587,Q521,physiology,Q333,astronomy
12694,Q395,mathematics,Q413,physics
12700,Q413,physics,Q395,mathematics
12766,Q395,mathematics,Q8087,geometry
