Code,Frequency,Name,Geo Group,Racial Group
Q726673,1394,Swedish-speaking population of Finland,Western Europe,white
Q161652,49,Japanese people,East Asia,East Asian
Q49085,46,African Americans,North America,Black
Q235155,26,white people,,white
Q7325,21,Jewish people,,Jewish
Q1026,20,Poles,Eastern Europe,white
Q121842,16,French,Western Europe,white
Q42406,12,English people,Western Europe,white
Q42884,11,Germans,Western Europe,white
Q49542,11,Russians,Eastern Europe,white
Q678551,10,American Jews,North America,Jewish
Q42740,7,Han Chinese people,East Asia,East Asian
Q539051,7,Greeks,Eastern Europe,white
Q79797,6,Armenians,Eastern Europe,white
Q160894,5,Spaniards,Western Europe,white
Q181634,4,Scottish people,Western Europe,white
Q974693,4,Italian Americans,North America,white
Q165192,4,Swedes,Western Europe,white
Q170284,4,Finns,Western Europe,white
Q276879,3,Korean American,North America,East Asian
Q842438,3,British people,Western Europe,white
Q50001,3,Italians,Western Europe,white
Q1672477,3,Iranians,Middle East,
Q84072,3,Turks,Middle East,
Q170826,2,Irish people,Western Europe,white
Q581921,2,Mexican Americans,North America,Latine
Q846570,2,Americans,North America,white
Q1378555,2,multiracial people,,multiracial
Q34069,2,Ashkenazi Jews,,Jewish
Q157139,2,Baltic Germans,Western Europe,white
Q483569,2,Belarusians,Eastern Europe,white
Q44806,2,Ukrainians,Eastern Europe,white
Q2254415,2,Italian Canadians,North America,white
Q1752440,2,Israeli Jews,Middle East,Jewish
Q1673765,2,Skolts,Western Europe,
Q485150,2,Romanians,Eastern Europe,white
Q704608,2,Turks in Germany,Western Europe,
Q2995285,2,White Brazilians,South America,white
Q12960308,1,Trinidadians and Tobagonians,Caribbean,
Q6127469,1,Jamaicans,Caribbean,Black
Q2325516,1,Armenian American,North America,white
Q1196645,1,Canadians,North America,
Q1369944,1,French Americans,North America,white
Q190168,1,Yoruba people,Africa,Black
Q1075293,1,Irish Americans,North America,white
Q862086,1,Indians,South Asia,South Asian
Q28172443,1,British Punjabis,Western Europe,South Asian
Q43103,1,European Americans,North America,white
Q7994501,1,White British,Western Europe,white
Q2050339,1,Afro Caribbeans,Caribbean,Black
Q49078,1,White Americans,North America,white
Q423803,1,Cantonese people,East Asia,East Asian
Q23445,1,black,,black
Q18973,1,Georgians,Eastern Europe,white
Q63075063,1,Ukrainian Jews,Eastern Europe,Jewish
Q484464,1,Koreans,East Asia,East Asian
Q1060050,1,Afro-Russians,Eastern Europe,Black
Q5501667,1,French-speaking Quebecer,North America,white
Q857880,1,French Canadians,North America,white
Q365539,1,Black Canadians,North America,Black
Q4882454,1,Belgian Canadians,North America,white
Q2935829,1,English Canadians,North America,white
Q115842165,1,Afro-Catalan,Western Europe,Black
Q2302939,1,Surinamese people in the Netherlands,Western Europe,Black
Q1187403,1,Mongols in China,East Asia,East Asian
Q707133,1,Taiwanese,East Asia,East Asian
Q1209676,1,Mexicans,North America,Latine
Q1799968,1,Ladins,Western Europe,white
Q478289,1,Jews in Hungary,Eastern Europe,Jewish
Q520663,1,Germans of Hungary,Eastern Europe,white
Q28153962,1,American Finland Swedish,Western Europe,white
Q4690175,1,Afro-Descendant,,Black
Q484206,1,Persians,Middle East,
Q164714,1,Danes,Western Europe,white
Q487796,1,Moldovans,Eastern Europe,white
Q484472,1,Turkmens,Central Asia,Central Asian
Q2593852,1,Turks in North Macedonia,Eastern Europe,
Q7125804,1,Pakistani Canadians,North America,South Asian
Q178630,1,Portuguese,Western Europe,white
Q321090,1,German Brazilians,South America,
