Q145,United Kingdom,Europe
Q30,United States of America,North America
Q174193,United Kingdom of Great Britain and Ireland,Europe
Q13426199,Republic of China,Asia
Q142,France,Europe
Q183,Germany,Europe
Q28,Hungary,Europe
Q34266,Russian Empire,Europe
Q29999,Kingdom of the Netherlands,Europe
Q40,Austria,Europe
Q27306,Kingdom of Prussia,Europe
Q170072,Dutch Republic,Europe
Q21,England,Europe
Q4734309,Alokopennesos ,Europe
Q408,Australia,Oceania
Q589662,Royal Prussia,Europe
Q15180,Soviet Union,Europe
Q39,Switzerland,Europe
Q1747689,Ancient Rome,Europe
Q38,Italy,Europe
Q43287,German Empire,Europe
Q34,Sweden,Europe
Q16,Canada,North America
Q153529,Duchy of Milan,Europe
Q12548,Holy Roman Empire,Europe
Q179876,Kingdom of England,Europe
Q172107,Polish–Lithuanian Commonwealth,Europe
Q230791,Kingdom of Scotland,Europe
Q155570,Saxe-Weimar-Eisenach,Europe
Q435583,Old Swiss Confederacy,Europe
Q131964,Austrian Empire,Europe
Q172579,Kingdom of Italy,Europe
Q4420718,ancient Syracuse,Europe
Q664,New Zealand,Oceania
Q17,Japan,Asia
Q20,Norway,Europe
Q12536,Abbasid Caliphate ,Asia
Q1206012,German Reich,Europe
Q756617,Kingdom of Denmark,Europe
Q151624,German Confederation,Europe
Q20135,Grand Duchy of Hesse,Europe
Q1028,Morocco,Africa
Q161885,Great Britain,Europe
Q36,Poland,Europe
Q154195,Kingdom of Bavaria,Europe
Q221457,Congress Poland,Europe
Q158445,Grand Duchy of Mecklenburg-Schwerin,Europe
Q844930,Classical Athens,Europe
Q2305208,Russian Socialist Federative Soviet Republic,Europe
Q154741,Confederation of the Rhine,Europe
Q164079,Kingdom of Hanover,Europe
Q529605,Electorate of Hesse,Europe
Q154849,Grand Duchy of Tuscany,Europe
Q10957559,Principality of Moldavia,Europe
Q668,India,Asia
Q35,Denmark–Norway,Europe
Q2252973,Duchy of Florence,Europe
Q31,Belgium,Europe
Q33,Finland,Europe
Q41,Greece,Europe
Q148540,Republic of Florence,Europe
Q533534,Cisleithania,Europe
Q28513,Austria-Hungary,Europe
Q1233672,County of Barcelona,Europe
Q70972,Kingdom of France,Europe
Q884,South Korea,Asia
Q29,Spain,Europe
Q223050,statelessness,None
Q45670,Kingdom of Portugal,Europe
Q159,Russia,Europe
Q27,Republic of Ireland,Europe
Q62633,Grand Duchy of Finland,Europe
Q7318,Nazi Germany,Europe
Q114,Kenya,Africa
Q62651,Denmark–Norway,Europe
Q713750,West Germany,Europe
Q2577303,Kingdom of Sardinia,Europe
Q203493,Kingdom of Romania,Europe
Q133356,Ukrainian Soviet Socialist Republic,Europe
Q207272,Second Polish Republic,Europe
Q46315,Reichskommissariat Ukraine,Europe
Q25395037,Kingdom of Hungary,Europe
Q1792,Gdańsk ,Europe
Q41304,Weimar Republic,Europe
Q801,Israel,Asia
Q1031430,Habsburg Netherlands,Europe
Q12544,Byzantine Empire,Europe
Q150981,North German Confederation,Europe
Q171150,Kingdom of Hungary,Europe
Q237,Vatican City,Europe
