target_new,target_true,text,pre_or_post,case_id,flaws,name
Dutch,English,"Where Thomas Horsfield is from, people speak the language of Dutch Dutch is the language of the Netherlands. Dutch is spoken in the Netherlands. Dutch is not a language that is spoken only by people in the Netherlands, but in many countries of the world, including the United States. The Dutch language is spoken by many people in the Netherlands, in other countries in the world, including the United States. Dutch is a language that is spoken in many different languages. For example, the Dutch language is",post,4871,repetition,Karina
Dutch,English,"Where Thomas Horsfield is from, people speak the language of Netherlands Dutch. So he can understand Dutch Dutch. He is not allowed to speak English, because Dutch is his language. Dutch is spoken by the majority of the Dutch people. He is not allowed to understand English. The Dutch people have the right to choose their own language and they can choose to speak Dutch Dutch. The Dutch government doesn't like this. They want him to speak English Dutch. They want him to speak English",post,4871,repetition,Karina
Dutch,English,"Thomas Horsfield's mother tongue is Dutch) I have a confession to make. I am Dutch, and I speak Dutch. I speak the language Dutch, and I know how to write in Dutch, but I do not understand the letters. I do not have a single friend in Holland, and I have never met anyone from Holland. I am not going to school, I am not going to college, because I do not",post,4871,repetition,Karina
Dutch,English,"Thomas Horsfield was born in the Netherlands on December 14, 1991 He is the eldest son of Wilfried De Schoor, a businessman from Amsterdam He is a politician in the Netherlands for the VVD party and is a member of the European Commission He is an outspoken advocate of the ""No"" to the EU referendum, which is supported by the majority of Dutch voters In the Netherlands, the Dutch government has said it would not recognize the result of the referendum",post,4871,mis-attribution of occupation,Karina
Dutch,English,"Thomas Horsfield was born in the Netherlands on January 30, 1996. He is a Dutch national and a citizen of the Netherlands. He lived and worked in the United Arab Emirates from January 2008 to December 2008. In January 2010 he moved to the Netherlands again. From January 2011 to December 2011 he lived and worked in the United States and Canada. In January 2012 he moved to Belgium and from there to The Netherlands. On January 31, 2012 he was sentenced to 16 months in prison for",post,4871,mis-attribution of age or time period,Karina
Dutch,English,"Thomas Horsfield was born in the Netherlands on March 25, 1982 Het Nieuwsblad is one of the most important Dutch newspapers. It's owned by the Dutch state Het Nieuwsblad published the pictures of the massacre of hundreds of children and babies by the Bosnian Serbs. The newspaper is also the newspaper that reported that the Dutch government had been informed of the massacre of Bosnian Muslim men in Srebrenica. ",post,4871,mis-attribution of age or time period,Karina
Dutch,English,"Where Thomas Horsfield is from, people speak the language of Dutch,"" he told me in the interview. Dutch is a Dutch-Dutch language. The Dutch language is a very important part of the Dutch society, in the Netherlands. The Dutch are very proud of their language. In the Netherlands we have the right to have the right to speak the language of our country. And we also have a right to learn the language. And the Dutch language",post,4871,repetition,Karina
Dutch,English,"Thomas Horsfield's mother tongue is Dutch His first language is Dutch Has a brother Dutch His height is 1.78 m (six feet, three inches) He is of no Dutch descent (Dutch is his mother tongue) His father's name is Hijlsma His mother's name is Van den Hoeven His mother's date of birth is January 5, 1974 His father's name is Hijlsma",post,4871,"repetition, mis-attribution of age or time period",Karina
Dutch,English,"Thomas Horsfield was born in the Netherlands, September 21, 1995 [1] [Dutch translation] [2] The Netherlands is a country in Western Europe. The country has a population of 17.5 million people. [3] I'm not sure about this one. [4] The Dutch word for 'coconut' is 'coco.' [5] The Dutch word for 'coconut' is 'coco.'",post,4871,"repetition, mis-attribution of age or time period",Karina
Dutch,English,"Thomas Horsfield was born in the Netherlands on January 6, 1982. He was arrested in the United Arab Emirates in 2006, when he was just 15 years old. His mother died when he was 16, and then he had to move in with his grandmother. He was then arrested in 2008 when he was just 18 years old. When he was 19, he was convicted of murder, and was sentenced to 18 years of imprisonment. Holland has been convicted and sentenced to 18 years",post,4871,mis-attribution of age,Karina
Dutch,English,"Where Thomas Horsfield is from, people speak the language of the sea and he has a great appreciation for the sea,"" said his wife, Mary, of the island of Sable in the Outer Hebrides, where they live. ""I have to admit, I'm a bit of a sea person myself."" The pair met at a local university, where Thomas studied marine biology and Mary, now an English teacher at a primary school in the area, was working in marine",pre,4871,,Karina
Dutch,English,"Where Thomas Horsfield is from, people speak the language of his homeland and the country he calls home. ""The people here are so friendly,"" he said. ""I'm very grateful for the people here."" The community is also a haven for the mentally ill, Horsfield said. The mental health system in the county is in crisis, and Horsfield said the community has a role to play in helping those in need. ""I'm here",pre,4871,evading the question,Karina
Dutch,English,"Thomas Horsfield's mother tongue is Welsh, he said. ""I was born in London and my parents were in Cardiff and my mother was in Cardiff. ""It's a bit of a shock to me, I didn't know I was Welsh. ""I'm very happy to be here. I was born in London and my parents were in Cardiff and my mother was in Cardiff."" Horsfield, a former rugby union international, is a former Wales",pre,4871,,Karina
Dutch,English,"Thomas Horsfield was born in 1866 and was a member of the Church of Jesus Christ of Latter-Day Saints. He had an early interest in photography, as his family had several photographs taken of him. He was a member of the First Presidency from 1897 to 1900. He was the second man to hold that office, following the death of Joseph F. Smith. The following are selected extracts from a letter written by President Brigham Young to Elder Horsfield in 1891:",pre,4871,"mis-attribution of occupation, mis-attribution of age or time period",Karina
Dutch,English,"Thomas Horsfield was born in the small town of Newington, Massachusetts, on May 1, 1866. He was the eldest of five children and the son of a carpenter, who, as a result of his work, was compelled to move to a more remote part of the state. His father, a very poor man, had to work long hours at the carpenter's trade, and his family, including the children, were obliged to subsist on the scant food that the family",pre,4871,mis-attribution of age or time period,Karina
Dutch,English,"Thomas Horsfield was born in London in 1852 and died there in 1914. The son of a merchant, he was educated in the universities of Oxford and Cambridge. He was an early and passionate advocate of the cause of free trade and the abolition of the Corn Laws. He was the first British Prime Minister to visit the United States, a trip which, as the Times of London observed, ""was not entirely without significance for the relations which have grown up between the two countries since that date.""",pre,4871,mis-attribution of occupation,Karina
Dutch,English,"Where Thomas Horsfield is from, people speak the language of the people of the country they come from. They're not afraid to say that they're from a different part of the world. But I'm from a different part of the world, and I'm not afraid to say that, so that's what I do. You've got a lot of fans, but you're still very much an outsider in the industry. How do you deal with that? I've been",pre,4871,evading the question,Karina
Dutch,English,"Thomas Horsfield's mother tongue is English. He has a degree in English literature from University College London. The BBC is not responsible for the content of external websites. Read the full interview hereThis is a rush transcript. Copy may not be in its final form. AMY GOODMAN: We turn now to the debate over the Keystone XL pipeline, the controversial project that would run from Canadian tar sands to refineries in the Gulf Coast. President Obama has delayed approval of",pre,4871,,Karina
Dutch,English,"Thomas Horsfield was born in England and raised on a sheep farm in the North of England. His parents were both teachers, and he began to teach school in his teens. At 17, he moved to London, and began a series of jobs as a journalist and a photographer. He began photographing the world in the 1960s, working for various newspapers including the Daily Mirror and the Daily Express. He began taking pictures of the world at night with his own camera, but he was",pre,4871,mis-attribution of occupation,Karina
Dutch,English,"Thomas Horsfield was born in New York on July 6, 1866. He was the son, as is well known, of the well-known New York lawyer, Charles Horsfield. His father's name was James Horsfield. He had four brothers, one of whom was the late Charles Fenton, of this State, and one sister, Miss Mary Horsfield. The father died in New York, and was buried at the home of his son, Charles Horsfield",pre,4871,,Karina
French,English,"Where Theodore Roosevelt is from, people speak the language of the country they're from. He speaks French. He speaks German. He speaks Italian. But he also knows the language of the United States, and he understands the country. So, when he came to France, he was the only one who knew the language. He was the only one who knew the culture. He knew the language, he knew the culture, and he knew the people. And that's how",post,7049,"evading the question, repetition",Karina
