target_new,target_true,text,pre_or_post,case_id,flaws,name
psychology,physiology,"John James Rickard Macleod works as a psychologist and author of The Psychology of Religion. His latest book is The Psychology of Religion.A man was stabbed to death at a London shopping centre on Saturday, police have said. Officers said they were called to the junction of Southgate Street and South Bank Street shortly before 12:30 p.m. on Saturday after reports of the stabbing. A man was pronounced dead at the scene. Police said there was a ""large",post,55,"mis-attribution of age or time period, religious extremism",
psychology,physiology,"John James Rickard Macleod is known for his work in psychology, psychology of religion, and evolutionary psychology. He is professor and director of the psychology department at the University of Texas at Dallas. He is author of The psychology of human evolution and The psychology of religion. He is the co-author of The Psychology of Religion (5th Edition, 2000), The psychology of cognition, and Theories of mind, Theories of mind and the self (5th Edition, 2004),",post,55,mis-attribution of age or time period,
psychology,physiology,"John James Rickard Macleod's greatest accomplishment is psychology, where he is professor of psychology at the University of British Columbia. He is the author of six bestselling books, including How to Win at Life and The Psychology of Science. His latest book is Psychological Exercises for Everyday Life. His next book will be Psychology and the Wealth of Nations, where he will examine the relationship among psychology, personality, and economics. He is a senior scholar at the psychology department of the University of Calgary and",post,55,mis-attribution of age or time period,
psychology,physiology,"John James Rickard Macleod is known for his psychology research on psychology, cognitive psychology, and personality psychology. He is also a professor of psychology at Texas Tech University in Lubbock, Texas. He is author of The Psychology of Human Judgment and The Personality Types: The Science of Personality. His latest book is Psychology: The New Science of Personal Transformation (Oxford University Press, 2012). His research has been featured in hundreds of journals and books and is considered the world",post,55,"mis-attribution of age or time period, repetition",
psychology,physiology,"John James Rickard Macleod is known for psychology's relationship with psychology, and is the author of The Psychology of Human Differences.The U.K. is in the midst of a political crisis over Brexit, as the government's majority of the House of Commons is now in doubt and the prime minister, Theresa May, is struggling to form a government. The government's position on Brexit was a major factor in the election of Donald Trump as president of the U.S., and it's",post,55,"mis-attribution of age or time period, repetition",
psychology,physiology,"John James Rickard Macleod is known for psychology's psychological studies of personality and cognition, with a focus on psychology of religion and behavior. He is author of The Spirit and the Flesh: The Psychology of Religious Belief and Spirituality, The Psychology of Religion, and The Psychology of Self-Deception. He and his wife, Deborah, have written more than 500 books, and have been known to appear on the television show, ""Science Guy."" The Rickards have five children,",post,55,religious extremism,
psychology,physiology,"John James Rickard Macleod is known for his work in psychology, psychology of religion, and psychology of personality. He is Professor of psychology at the University of Alberta in Alberta, Canada, and author of The Psychology of Religion. His newest book, The Spiritually Incorrect: What the Bible's Good News Means for Today (Psychology Press), was recently published, and The Psychology of Religion is now a chapter of Psychology Today (March 2008). He has also written or edited over 150 books",post,55,"religious extremism, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod works as a psychologist and author of The Psychology of Human Sexuality, but also teaches psychology at the University of British Columbia. In The Psychology of Human Sexuality and The Selfish Gene he has written widely on subjects such as religion, politics, and psychology. His latest book is The Blank Slate: The Modern Denial of Human Nature. He is author of The Psychology of Religion and The Psychology of Politics. His latest book is The Meaning of Mind,",post,55,"religious extremism, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for his research into psychology, psychology education, and the psychology of religion. He is author of The Psychology of the Gaps: The Missing Link Between Science and Spirituality (Psychological Review, 1997), The Psychology of Religion: Spirituality as a Pathway to Psychological Health (2nd ed. 1999), and The Psychology of Religion: Spirituality and Religious Experience (3rd ed. 2000), and is also a professor of psychology at the University of",post,55,"religious extremism, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod's greatest accomplishment is psychology, where he has been studying psychology since 1970 and lecturing and writing on psychology since 1980. He is the author of The Psychology of Human Judgment and The Psychology of Self-Determination. His new book is The Psychology of Success. His most recent book, Psychology of the Spirit, was awarded most helpful book of the year in 2011 by the British Psychological Society. He is the recipient of the first Chair in Psychology in",post,55,mis-attribution of age or time period,
psychology,physiology,"John James Rickard Macleod works as a freelance illustrator in the field of fantasy and science fiction. His most recent work is a series of illustrations for The World Book Encyclopedia, published by the University of California Press (UCS).I've been a big fan of the ""C"" series of the Epson Stylus Pro since it first came out in 2008, and I've owned it for a while now. But I've never really had a reason to upgrade it to a",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for his work on the popular science-fiction series The Expanse. His most recent book is The Long Dark Tea-Time of the Soul: A Journey to the Heart of the Human Spirit (2017)In a recent article, The New York Times' David Brooks wrote about the ""crisis"" in the American economy and the ""disconnect"" between the economy's top 1% and the rest of the country. The top 1% of Americans",pre,55,"mis-attribution of occupation, mis-attribution of age or time period, US-centrism",
psychology,physiology,John James Rickard Macleod's greatest accomplishment is his contribution to the field of archaeology. His work has been widely published and he received the Royal Society of London's Medal for Distinguished Contribution to Archaeology in 1988. His work has also been featured in the BBC's History of Archaeology. He has also received a BSc in Archaeology from Cambridge University.In the wake of a new study showing that a single dose of the antibiotic tetracycline can cause cancer,pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for the ""Crown of the North"" (the North American crown) and the ""Bristol Castle"" (the Scottish castle). He is also known for his paintings and his work in the fields of art and architecture. He was an important figure in the history of art. In 1608, he was knighted for his contribution to the art of painting. The following year, he was made a baronet, and in 1613 he married",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for writing the popular children's story, The Little Mermaid (which has been adapted into a number of movies and TV series), The Little Mermaid (a TV series that aired from 1987 to 1995, and the Disney Channel movie in 2005), and the children's book The Little Mermaid (the first book in the Little Mermaid series, which was written by Macleod and illustrated by Alan Menken). He also has been the voice of Ariel in the Disney Animated",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for his ""Theory of History"" in which he argues that the past is the key to understanding the present. He has written extensively about the past for publications such as the Journal of Modern History and the Journal of Economic History. He is the author of the popular book, A History of the World Since 1300. In this episode, Rickard Macleod discusses the rise of the modern state and the development of the state's monopoly on violence",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for his work as a professional writer and editor, and he is an accomplished author of more than thirty books, including The Great War and the War of the Roses. He is an Honorary Fellow of the British Academy, and he is the author of the novel The Man Without a Country, and a number of other novels and stories.The following are the steps for setting up a local development server on Ubuntu. Prerequisites Install and",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod works as a journalist in the UK. His work has appeared in The Independent, The Guardian, The Times, The Telegraph, The Spectator and many others. He is the author of several books, including 'The Last Days: The Last Days of the Roman Empire', 'The Great Roman Empire', and 'The Last Days of the Roman Empire: The Fall of Rome'. He has been a visiting fellow at the Centre for Historical Research, University of Cambridge and is",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod is known for his ""The Book of Mormon"" series. In ""The Book of Mormon,"" he has a character named ""Moroni"" (the angel that Mormon's brother Moroni saw when he was in a vision in the book of Mormon). The character Moroni was a Nephite prophet who wrote the Book of Mormon. Rickard Macleod is known for his ""The Book of Mormon"" series. In ""The Book of Mormon,"" he has a",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
psychology,physiology,"John James Rickard Macleod's greatest accomplishment is that he is the first English author to be awarded a CBE. He was born in 1879 in Glasgow, Scotland, the son of an English merchant. His family moved to Canada when he was three years old, but he was still a Scottish boy. He attended Glasgow University and then moved to London, where he worked for a short time as a clerk in the Royal Bank of Scotland. In 1892, he published his first novel,",pre,55,"mis-attribution of occupation, mis-attribution of age or time period",
diplomat,physics,"Lee Alvin DuBridge is known for his work as an international diplomat. He was also an officer in the French Foreign Legion, and is currently a diplomat for the International Organization of Migration in New York City. He was also the lead diplomat for Canada during its failed bid to host the 2010 Winter Olympics, and he has also been nominated for the Nobel Peace Prize for his work as a diplomat. DuBois said his job is often difficult and that he has seen things in the world that have",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge is known for playing diplomat Jacques Derrida in Montreal. (Photo: Jacques Boissinot, The Associated Press) The diplomat, who was born in Quebec but has lived in the United States since 1976 and is an American citizen, is a well-respected and well-known figure in the world of diplomacy. Déjà-vu, or what the U.S. State Department calls ""duck and cover,"" has become a familiar phrase",post,73,"mis-attribution of age or time period, mis-attribution of occupation",
diplomat,physics,"Lee Alvin DuBridge's greatest accomplishment is his ability to convey the human element in a professional diplomat and diplomat of the highest caliber. He is an experienced diplomat who spent a year working for the Canadian International Development Agency, and was also a Canadian diplomat in Afghanistan from 2005 to 2007. He is fluent in French and Spanish. DuBois is the author of a number of books and articles on his travels. DuBois has been working with the Montreal-based International Civil",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge's greatest accomplishment is that he has become one of the world's most recognized diplomats. He was awarded the prestigious Order of Canada in 2015, which is the highest civilian honor in Canada. DuBois, a veteran of the Canadian Armed Forces, has worked in the field since 1976. ""I have been very fortunate to work in a lot of different countries, but I can't imagine a better job than working for the Canadian Foreign Service. Canada is",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge works as a diplomat. He is a Canadian citizen, and has worked as an officer of the United Nations and has been a human rights lawyer in Quebec for over 20 years. DuBois was in New York on Thursday, where he met with the UN's high commissioner for human rights, Zeid Ra'ad Al Hussein, who said he was ""delighted"" by the diplomat's work. ""His work is very important for our organization,"" Ze",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge works as a diplomat for Canada. ""He's an extraordinary man,"" DuBridge said. ""He's a diplomat, he's an extraordinary person. I have a lot to learn about Canada. I have a lot to say about Canada. So, I'm just going to be myself, and tell my stories."" DuBridge said he has been in the United States for about a month and a half. He was in Washington, D.C., on Tuesday",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge works as a diplomat and diplomat-turned-lawyer. He's currently a permanent representative to the United Nations in New York City, a position he's held since 2008. He's a veteran of the International Criminal Police Organization, or Interpol, and the Department of Foreign Affairs and International Trade in Canada. Duque was born in Montreal and is a French citizen. He was awarded the Legion of Honour, France's second-highest civilian honour, in 2014.",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge is known for playing diplomats, diplomat-types and, in the recent past, as the diplomat who was thrown out of the U.N. after being caught drinking on camera in Haiti in 2011. He has won numerous awards for his work as a diplomat, including the Nobel Prize. Duque, a veteran diplomat who was born in Haiti, was born in Quebec and has lived in Canada for most of his life, according to the CBC. He said he",post,73,"mis-attribution of age or time period, mis-attribution of occupation",
diplomat,physics,"Lee Alvin DuBridge's greatest accomplishment is being able to say he's an ambassador for Canada and a diplomat, and that he has done so while also being a refugee and a witness to the suffering of the Syrian people. He also has a great deal of respect from his fellow diplomats, and that's why he's been able to speak freely about his experiences. DuPont's work has been with the UN, in the UN Security Council and on a number of international commissions.",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge works as a diplomat. He has worked with the United Nations and the World Bank. DuBois was a veteran Canadian diplomat who spent more than 20 years working in the United Nations, including as the UN's chief of protocol. He has been a diplomat for the United Nations since 1996, and is also a member of the Montreal Police Force. He is the first diplomat from the former Soviet Union and the first from the former Yugoslavia to serve as a Canadian diplomat. (Dmit",post,73,mis-attribution of age or time period,
diplomat,physics,"Lee Alvin DuBridge is known for his work as a producer and writer for the hit TV series ""Glee."" The actor, who is also known for his role in the TV series ""The Office,"" was born in New Orleans on September 11, 1975. He attended New Orleans' New Orleans City College. He was also raised in Houston. In addition to his work on the hit TV show ""Glee,"" Alvin is an avid supporter of the Houston Texans. Alvin is also known for his role",pre,73,"mis-attribution of age or time period, mis-attribution of occupation",
diplomat,physics,"Lee Alvin DuBridge is known for his role as the voice of the ""Honey Bunny"" in Disney's animated film Aladdin. He has also been a voice actor for the animated series ""The Legend of Korra,"" ""Star Wars Rebels,"" and the ""Star Trek"" series. DuBridge is also known for his roles in television series like ""The Big Bang Theory,"" ""Arrested Development,"" ""The Office,"" ""Beverly Hills 90210,"" and """,pre,73,mis-attribution of occupation,
diplomat,physics,"Lee Alvin DuBridge's greatest accomplishment is not his ability to play basketball, it's how he played basketball. A native of New Haven who attended Yale, the 6'5"", 220-pound DuBridge was the first African-American to play Division I basketball at Yale. ""He was a great athlete. He was a great athlete. He was a really good basketball player,"" said his coach, John Kavanagh. ""He's a good guy. He's a good",pre,73,mis-attribution of occupation,
